,Unnamed: 0,mois_mutation,code_departement,nom_commune,valeur_m2,croissance
0,0,2017/01,75,75Paris 14e Arrondissement,15120.430471599964,0.0
1,1,2017/01,91,91Ormoy,2808.219178082192,0.0
2,2,2017/01,91,91Ormoy-la-Rivière,2035.398230088496,0.0
3,3,2017/01,91,91Orsay,4163.95548323783,0.0
4,4,2017/01,91,91Orveau,942.8571428571428,0.0
5,5,2017/01,91,91Palaiseau,4062.427397108075,0.0
6,6,2017/01,91,91Paray-Vieille-Poste,3601.7745518948104,0.0
7,7,2017/01,91,91Pussay,1474.2446106082468,0.0
8,8,2017/01,91,91Quincy-sous-Sénart,3511.9917975301432,0.0
9,9,2017/01,91,91Ris-Orangis,2448.789822235691,0.0
10,10,2017/01,91,91Roinville,1894.4099378881988,0.0
11,11,2017/01,91,91Ollainville,3006.763031210814,0.0
12,12,2017/01,91,91Saclas,2400.0,0.0
13,13,2017/01,91,91Saint-Chéron,2525.0,0.0
14,14,2017/01,91,91Saint-Cyr-sous-Dourdan,2243.7876299945265,0.0
15,15,2017/01,91,91Saint-Escobille,1753.4246575342463,0.0
16,16,2017/01,91,91Saint-Germain-lès-Arpajon,3250.0391810979186,0.0
17,17,2017/01,91,91Saint-Germain-lès-Corbeil,2737.367238423534,0.0
18,18,2017/01,91,91Saint-Hilaire,1562.5,0.0
19,19,2017/01,91,91Saint-Maurice-Montcouronne,2595.564516129032,0.0
20,20,2017/01,91,91Saint-Michel-sur-Orge,2485.714285714286,0.0
21,21,2017/01,91,91Saint-Pierre-du-Perray,2792.486066354231,0.0
22,22,2017/01,91,91Saint-Vrain,3428.5714285714284,0.0
23,23,2017/01,91,91Saclay,3458.7089249492906,0.0
24,24,2017/01,91,91Saint-Yon,2238.805970149254,0.0
25,25,2017/01,91,91Morsang-sur-Seine,1456.79012345679,0.0
26,26,2017/01,91,91Morigny-Champigny,2716.654992089775,0.0
27,27,2017/01,91,91Le Val-Saint-Germain,1842.875157629256,0.0
28,28,2017/01,91,91Les Molières,3846.153846153846,0.0
29,29,2017/01,91,91Les Ulis,3154.7619047619046,0.0
30,30,2017/01,91,91Leudeville,2834.8133356724425,0.0
31,31,2017/01,91,91Leuville-sur-Orge,2371.004408133121,0.0
32,32,2017/01,91,91Limours,2917.978328076131,0.0
33,33,2017/01,91,91Linas,3486.156072361498,0.0
34,34,2017/01,91,91Lisses,3124.111826207251,0.0
35,35,2017/01,91,91Longjumeau,3342.5362989001565,0.0
36,36,2017/01,91,91Longpont-sur-Orge,3151.975288683718,0.0
37,37,2017/01,91,91Morsang-sur-Orge,2982.603287119186,0.0
38,38,2017/01,91,91Maisse,1626.2729467859183,0.0
39,39,2017/01,91,91Marolles-en-Hurepoix,3161.5487008136047,0.0
40,40,2017/01,91,91Massy,4698.355054302423,0.0
41,41,2017/01,91,91Mennecy,2780.873524812449,0.0
42,42,2017/01,91,91Mespuits,2083.333333333333,0.0
43,43,2017/01,91,91Milly-la-Forêt,2605.341589150887,0.0
44,44,2017/01,91,91Mondeville,1020.2258064516128,0.0
45,45,2017/01,91,91Monnerville,2311.111111111112,0.0
46,46,2017/01,91,91Montgeron,4011.6416090876814,0.0
47,47,2017/01,91,91Montlhéry,2694.9471690590112,0.0
48,48,2017/01,91,91Morangis,3491.5599238580608,0.0
49,49,2017/01,91,91Marcoussis,2902.8831221953883,0.0
50,50,2017/01,91,91Sainte-Geneviève-des-Bois,3151.678425586449,0.0
51,51,2017/01,91,91Saintry-sur-Seine,3304.9817468358497,0.0
52,52,2017/01,91,91Saulx-les-Chartreux,2555.092846835291,0.0
53,53,2017/01,92,92Antony,5350.241207594644,0.0
54,54,2017/01,92,92Asnières-sur-Seine,8286.164099579597,0.0
55,55,2017/01,92,92Bagneux,3932.174426970912,0.0
56,56,2017/01,92,92Bois-Colombes,7428.632391112031,0.0
57,57,2017/01,92,92Boulogne-Billancourt,10126.362433862434,0.0
58,58,2017/01,92,92Bourg-la-Reine,6245.833333333333,0.0
59,59,2017/01,92,92Chaville,7162.315873015873,0.0
60,60,2017/01,92,92Châtenay-Malabry,4938.322292437517,0.0
61,61,2017/01,92,92Châtillon,9270.506042366876,0.0
62,62,2017/01,92,92Clamart,5608.601293768473,0.0
63,63,2017/01,91,91Évry-Courcouronnes,2522.8753670283672,0.0
64,64,2017/01,92,92Clichy,8537.641025641025,0.0
65,65,2017/01,92,92Courbevoie,9621.260683760684,0.0
66,66,2017/01,92,92Fontenay-aux-Roses,5301.587301587301,0.0
67,67,2017/01,92,92Garches,7118.220242720243,0.0
68,68,2017/01,92,92Gennevilliers,3760.8427177177177,0.0
69,69,2017/01,92,92Issy-les-Moulineaux,6394.195966748851,0.0
70,70,2017/01,92,92Le Plessis-Robinson,6123.7327057649645,0.0
71,71,2017/01,92,92Levallois-Perret,6606.75,0.0
72,72,2017/01,92,92Malakoff,6329.841697323676,0.0
73,73,2017/01,92,92Meudon,9911.695755183888,0.0
74,74,2017/01,92,92Montrouge,10826.091890565574,0.0
75,75,2017/01,92,92Colombes,6307.127701598379,0.0
76,76,2017/01,91,91Étréchy,2554.464948798179,0.0
