mois_mutation;code_departement;nom_commune;valeur_fonciere
01/01/2017;75;75Paris 10e Arrondissement;171
01/01/2017;75;75Paris 11e Arrondissement;266
01/01/2017;75;75Paris 12e Arrondissement;175
01/01/2017;75;75Paris 13e Arrondissement;140
01/01/2017;75;75Paris 14e Arrondissement;167
01/01/2017;75;75Paris 15e Arrondissement;454
01/01/2017;75;75Paris 16e Arrondissement;257
01/01/2017;75;75Paris 17e Arrondissement;279
01/01/2017;75;75Paris 18e Arrondissement;344
01/01/2017;75;75Paris 19e Arrondissement;151
01/01/2017;75;75Paris 1er Arrondissement;22
01/01/2017;75;75Paris 20e Arrondissement;206
01/01/2017;75;75Paris 2e Arrondissement;46
01/01/2017;75;75Paris 3e Arrondissement;71
01/01/2017;75;75Paris 4e Arrondissement;43
01/01/2017;75;75Paris 5e Arrondissement;70
01/01/2017;75;75Paris 6e Arrondissement;109
01/01/2017;75;75Paris 7e Arrondissement;108
01/01/2017;75;75Paris 8e Arrondissement;72
01/01/2017;75;75Paris 9e Arrondissement;106
01/01/2017;77;77Achères-la-Forêt;2
01/01/2017;77;77Amillis;4
01/01/2017;77;77Annet-sur-Marne;5
01/01/2017;77;77Arbonne-la-Forêt;3
01/01/2017;77;77Argentières;2
01/01/2017;77;77Aubepierre-Ozouer-le-Repos;2
01/01/2017;77;77Aufferville;1
01/01/2017;77;77Augers-en-Brie;1
01/01/2017;77;77Avon;20
01/01/2017;77;77Bagneaux-sur-Loing;4
01/01/2017;77;77Bailly-Romainvilliers;15
01/01/2017;77;77Balloy;2
01/01/2017;77;77Barcy;1
01/01/2017;77;77Bassevelle;1
01/01/2017;77;77Beauchery-Saint-Martin;1
01/01/2017;77;77Beautheil-Saints;2
01/01/2017;77;77Bellot;4
01/01/2017;77;77Beton-Bazoches;4
01/01/2017;77;77Blennes;1
01/01/2017;77;77Bois-le-Roi;12
01/01/2017;77;77Boissise-la-Bertrand;2
01/01/2017;77;77Boissise-le-Roi;4
01/01/2017;77;77Boissy-le-Châtel;2
01/01/2017;77;77Bombon;1
01/01/2017;77;77Bourron-Marlotte;3
01/01/2017;77;77Boutigny;2
01/01/2017;77;77Bray-sur-Seine;1
01/01/2017;77;77Brie-Comte-Robert;20
01/01/2017;77;77Brou-sur-Chantereine;5
01/01/2017;77;77Bréau;6
01/01/2017;77;77Bussières;2
01/01/2017;77;77Bussy-Saint-Georges;43
01/01/2017;77;77Cannes-Écluse;1
01/01/2017;77;77Cesson;11
01/01/2017;77;77Chailly-en-Bière;6
01/01/2017;77;77Chailly-en-Brie;3
01/01/2017;77;77Chalifert;4
01/01/2017;77;77Chamigny;7
01/01/2017;77;77Champagne-sur-Seine;5
01/01/2017;77;77Champdeuil;1
01/01/2017;77;77Champs-sur-Marne;31
01/01/2017;77;77Changis-sur-Marne;3
01/01/2017;77;77Chanteloup-en-Brie;6
01/01/2017;77;77Charmentray;1
01/01/2017;77;77Charny;1
01/01/2017;77;77Chartronges;2
01/01/2017;77;77Chauconin-Neufmontiers;1
01/01/2017;77;77Chaumes-en-Brie;7
01/01/2017;77;77Chelles;62
01/01/2017;77;77Chenoise-Cucharmoy;7
01/01/2017;77;77Chenou;1
01/01/2017;77;77Chessy;6
01/01/2017;77;77Chevru;1
01/01/2017;77;77Chevry-Cossigny;5
01/01/2017;77;77Château-Landon;6
01/01/2017;77;77Châtenay-sur-Seine;1
01/01/2017;77;77Châtenoy;2
01/01/2017;77;77Châtres;1
01/01/2017;77;77Citry;1
01/01/2017;77;77Claye-Souilly;16
01/01/2017;77;77Collégien;4
01/01/2017;77;77Combs-la-Ville;23
01/01/2017;77;77Conches-sur-Gondoire;5
01/01/2017;77;77Condé-Sainte-Libiaire;1
01/01/2017;77;77Congis-sur-Thérouanne;1
01/01/2017;77;77Couilly-Pont-aux-Dames;12
01/01/2017;77;77Coulombs-en-Valois;1
01/01/2017;77;77Coulommiers;9
01/01/2017;77;77Coupvray;6
01/01/2017;77;77Courpalay;2
01/01/2017;77;77Courtry;3
01/01/2017;77;77Coutevroult;4
01/01/2017;77;77Croissy-Beaubourg;1
01/01/2017;77;77Crèvecœur-en-Brie;2
01/01/2017;77;77Crécy-la-Chapelle;6
01/01/2017;77;77Crégy-lès-Meaux;2
01/01/2017;77;77Cuisy;2
01/01/2017;77;77Cély;1
01/01/2017;77;77Dammarie-les-Lys;12
01/01/2017;77;77Dammartin-en-Goële;6
01/01/2017;77;77Dammartin-sur-Tigeaux;6
01/01/2017;77;77Dampmart;7
01/01/2017;77;77Darvault;1
01/01/2017;77;77Donnemarie-Dontilly;4
01/01/2017;77;77Dormelles;3
01/01/2017;77;77Doue;1
01/01/2017;77;77Esbly;12
01/01/2017;77;77Faremoutiers;4
01/01/2017;77;77Favières;1
01/01/2017;77;77Faÿ-lès-Nemours;1
01/01/2017;77;77Ferrières-en-Brie;3
01/01/2017;77;77Flagy;1
01/01/2017;77;77Fleury-en-Bière;2
01/01/2017;77;77Fontaine-le-Port;3
01/01/2017;77;77Fontainebleau;23
01/01/2017;77;77Fontenailles;1
01/01/2017;77;77Fontenay-Trésigny;6
01/01/2017;77;77Fresnes-sur-Marne;1
01/01/2017;77;77Fublaines;3
01/01/2017;77;77Féricy;1
01/01/2017;77;77Germigny-l'Évêque;2
01/01/2017;77;77Gouaix;4
01/01/2017;77;77Gouvernes;2
01/01/2017;77;77Grandpuits-Bailly-Carrois;1
01/01/2017;77;77Gretz-Armainvilliers;6
01/01/2017;77;77Grez-sur-Loing;1
01/01/2017;77;77Grisy-Suisnes;3
01/01/2017;77;77Guermantes;1
01/01/2017;77;77Guignes;3
01/01/2017;77;77Gurcy-le-Châtel;2
01/01/2017;77;77Guérard;1
01/01/2017;77;77Hautefeuille;2
01/01/2017;77;77Hondevilliers;2
01/01/2017;77;77Héricy;5
01/01/2017;77;77Isles-les-Meldeuses;1
01/01/2017;77;77Iverny;4
01/01/2017;77;77Jablines;2
01/01/2017;77;77Jouarre;3
01/01/2017;77;77Jouy-le-Châtel;5
01/01/2017;77;77Juilly;1
01/01/2017;77;77Jutigny;1
01/01/2017;77;77La Celle-sur-Morin;2
01/01/2017;77;77La Chapelle-Gauthier;2
01/01/2017;77;77La Chapelle-Moutils;2
01/01/2017;77;77La Chapelle-Saint-Sulpice;1
01/01/2017;77;77La Chapelle-la-Reine;5
01/01/2017;77;77La Ferté-Gaucher;10
01/01/2017;77;77La Ferté-sous-Jouarre;20
01/01/2017;77;77La Genevraye;2
01/01/2017;77;77La Grande-Paroisse;4
01/01/2017;77;77La Houssaye-en-Brie;1
01/01/2017;77;77La Rochette;5
01/01/2017;77;77Lagny-sur-Marne;37
01/01/2017;77;77Larchant;1
01/01/2017;77;77Laval-en-Brie;3
01/01/2017;77;77Le Châtelet-en-Brie;5
01/01/2017;77;77Le Mée-sur-Seine;14
01/01/2017;77;77Le Pin;5
01/01/2017;77;77Le Plessis-Feu-Aussoux;3
01/01/2017;77;77Le Plessis-aux-Bois;1
01/01/2017;77;77Le Vaudoué;2
01/01/2017;77;77Les Marêts;3
01/01/2017;77;77Lescherolles;1
01/01/2017;77;77Lieusaint;20
01/01/2017;77;77Livry-sur-Seine;2
01/01/2017;77;77Lognes;9
01/01/2017;77;77Longperrier;2
01/01/2017;77;77Lorrez-le-Bocage-Préaux;3
01/01/2017;77;77Louan-Villegruis-Fontaine;1
01/01/2017;77;77Luzancy;2
01/01/2017;77;77Lésigny;5
01/01/2017;77;77Magny-le-Hongre;19
01/01/2017;77;77Maincy;1
01/01/2017;77;77Maisoncelles-en-Brie;1
01/01/2017;77;77Marchémoret;2
01/01/2017;77;77Mareuil-lès-Meaux;3
01/01/2017;77;77Marles-en-Brie;3
01/01/2017;77;77Mary-sur-Marne;1
01/01/2017;77;77Mauperthuis;1
01/01/2017;77;77Meaux;57
01/01/2017;77;77Melun;39
01/01/2017;77;77Messy;2
01/01/2017;77;77Misy-sur-Yonne;1
01/01/2017;77;77Mitry-Mory;18
01/01/2017;77;77Moisenay;3
01/01/2017;77;77Moissy-Cramayel;22
01/01/2017;77;77Mondreville;1
01/01/2017;77;77Montceaux-lès-Provins;2
01/01/2017;77;77Montcourt-Fromonville;1
01/01/2017;77;77Montenils;2
01/01/2017;77;77Montereau-Fault-Yonne;11
01/01/2017;77;77Montgé-en-Goële;3
01/01/2017;77;77Monthyon;2
01/01/2017;77;77Montigny-Lencoup;2
01/01/2017;77;77Montigny-sur-Loing;1
01/01/2017;77;77Montolivet;2
01/01/2017;77;77Montry;5
01/01/2017;77;77Montévrain;26
01/01/2017;77;77Moret-Loing-et-Orvanne;16
01/01/2017;77;77Mormant;2
01/01/2017;77;77Mortcerf;1
01/01/2017;77;77Mouroux;9
01/01/2017;77;77Moussy-le-Neuf;3
01/01/2017;77;77Moussy-le-Vieux;3
01/01/2017;77;77Nandy;6
01/01/2017;77;77Nangis;9
01/01/2017;77;77Nanteau-sur-Essonne;2
01/01/2017;77;77Nanteuil-lès-Meaux;8
01/01/2017;77;77Nanteuil-sur-Marne;4
01/01/2017;77;77Nemours;9
01/01/2017;77;77Neufmoutiers-en-Brie;3
01/01/2017;77;77Noisiel;11
01/01/2017;77;77Noisy-Rudignon;2
01/01/2017;77;77Noisy-sur-École;3
01/01/2017;77;77Nonville;2
01/01/2017;77;77Oissery;5
01/01/2017;77;77Othis;6
01/01/2017;77;77Ozoir-la-Ferrière;26
01/01/2017;77;77Ozouer-le-Voulgis;3
01/01/2017;77;77Paley;3
01/01/2017;77;77Penchard;5
01/01/2017;77;77Perthes;2
01/01/2017;77;77Poigny;1
01/01/2017;77;77Poligny;1
01/01/2017;77;77Pommeuse;5
01/01/2017;77;77Pomponne;4
01/01/2017;77;77Pontault-Combault;40
01/01/2017;77;77Pontcarré;1
