mois_mutation,type_local,cat_commune,valeur_m2
2017/01,Appartement,0,7985.504755494168
2017/01,Appartement,1,3508.7420195844506
2017/01,Appartement,2,12228.471696350953
2017/01,Maison,0,5871.347436771081
2017/01,Maison,1,2960.1288710822087
2017/01,Maison,2,12036.506261866973
2017/02,Appartement,0,7934.783909340954
2017/02,Appartement,1,3511.4774614723997
2017/02,Appartement,2,11331.16438892924
2017/02,Maison,0,5865.2629294149565
2017/02,Maison,1,2983.530317792927
2017/02,Maison,2,11886.049420689935
2017/03,Appartement,0,7989.1493848936425
2017/03,Appartement,1,3546.311853794229
2017/03,Appartement,2,11791.480197583533
2017/03,Maison,0,5772.961818598958
2017/03,Maison,1,3004.0676050635016
2017/03,Maison,2,13441.062734833975
2017/04,Appartement,0,8170.925842995672
2017/04,Appartement,1,3587.375438028425
2017/04,Appartement,2,13059.7958513747
2017/04,Maison,0,5844.205181910757
2017/04,Maison,1,3013.0377805938538
2017/04,Maison,2,10519.318973315903
2017/05,Appartement,0,8470.701735348848
2017/05,Appartement,1,4007.0910813928535
2017/05,Appartement,2,12677.787607411194
2017/05,Maison,0,5940.60816052303
2017/05,Maison,1,2964.3328818894242
2017/05,Maison,2,13343.196143323603
2017/06,Appartement,0,8073.890764655917
2017/06,Appartement,1,3594.8899955899606
2017/06,Appartement,2,12462.767011915497
2017/06,Maison,0,6138.5132084631405
2017/06,Maison,1,3043.9530097252127
2017/06,Maison,2,11396.362074206207
2017/07,Appartement,0,8308.541918255307
2017/07,Appartement,1,3787.885088462973
2017/07,Appartement,2,13099.875053002106
2017/07,Maison,0,6101.587750376357
2017/07,Maison,1,3063.3773712095344
2017/07,Maison,2,11734.143291889332
2017/08,Appartement,0,8351.545487537027
2017/08,Appartement,1,3604.724547009733
2017/08,Appartement,2,12323.553489833048
2017/08,Maison,0,6172.099924612986
2017/08,Maison,1,3061.1039521164917
2017/08,Maison,2,11242.34680473839
2017/09,Appartement,0,8299.732235586986
2017/09,Appartement,1,3689.8169210551237
2017/09,Appartement,2,12677.356428184401
2017/09,Maison,0,6126.528007111335
2017/09,Maison,1,3059.0951382256376
2017/09,Maison,2,13013.60847739702
2017/10,Appartement,0,8349.85699980054
2017/10,Appartement,1,3714.6432211564606
2017/10,Appartement,2,12736.097214276968
2017/10,Maison,0,6047.351910917623
2017/10,Maison,1,3058.1936601821176
2017/10,Maison,2,11291.99812836461
2017/11,Appartement,0,8334.24583959093
2017/11,Appartement,1,3759.2968487283792
2017/11,Appartement,2,12589.630543155443
2017/11,Maison,0,5839.610454676015
2017/11,Maison,1,3008.7625730061145
