,nom_commune,dummy,cat_commune
0,75Paris 10e Arrondissement,1,0
1,75Paris 11e Arrondissement,1,0
2,75Paris 12e Arrondissement,1,0
3,75Paris 13e Arrondissement,1,0
4,75Paris 14e Arrondissement,1,0
5,75Paris 15e Arrondissement,1,0
6,75Paris 16e Arrondissement,1,0
7,75Paris 17e Arrondissement,1,0
8,75Paris 18e Arrondissement,1,0
9,75Paris 19e Arrondissement,1,0
10,75Paris 1er Arrondissement,1,0
11,75Paris 20e Arrondissement,1,0
12,75Paris 2e Arrondissement,1,0
13,75Paris 3e Arrondissement,1,0
14,75Paris 4e Arrondissement,1,0
15,75Paris 5e Arrondissement,1,0
16,75Paris 6e Arrondissement,1,2
17,75Paris 7e Arrondissement,1,2
18,75Paris 8e Arrondissement,1,0
19,75Paris 9e Arrondissement,1,0
20,77Achères-la-Forêt,1,0
21,77Andrezel,1,1
22,77Annet-sur-Marne,1,1
23,77Arbonne-la-Forêt,1,1
24,77Aufferville,1,1
25,77Avon,1,1
26,77Bailly-Romainvilliers,1,1
27,77Barbizon,1,0
28,77Beaumont-du-Gâtinais,1,1
29,77Beautheil-Saints,1,1
30,77Bellot,1,1
31,77Beton-Bazoches,1,1
32,77Blandy,1,1
33,77Bois-le-Roi,1,1
34,77Boissise-la-Bertrand,1,0
35,77Boissise-le-Roi,1,0
36,77Boissy-le-Châtel,1,1
37,77Bombon,1,1
38,77Bouleurs,1,1
39,77Bourron-Marlotte,1,1
40,77Bray-sur-Seine,1,1
41,77Brie-Comte-Robert,1,1
42,77Brou-sur-Chantereine,1,1
43,77Bussières,1,1
44,77Bussy-Saint-Georges,1,1
45,77Bussy-Saint-Martin,1,1
46,77Buthiers,1,1
47,77Cannes-Écluse,1,1
48,77Carnetin,1,0
49,77Cerneux,1,1
50,77Cesson,1,1
51,77Chailly-en-Bière,1,1
52,77Chailly-en-Brie,1,1
53,77Chalautre-la-Grande,1,1
54,77Chalifert,1,0
55,77Chambry,1,1
56,77Chamigny,1,0
57,77Champagne-sur-Seine,1,1
58,77Champdeuil,1,1
59,77Champeaux,1,1
60,77Champs-sur-Marne,1,1
61,77Changis-sur-Marne,1,1
62,77Chanteloup-en-Brie,1,1
63,77Charmentray,1,1
64,77Charny,1,1
65,77Chartrettes,1,1
66,77Chauconin-Neufmontiers,1,1
67,77Chaumes-en-Brie,1,1
68,77Chelles,1,1
69,77Chenoise-Cucharmoy,1,1
70,77Chessy,1,1
71,77Chevry-Cossigny,1,1
72,77Choisy-en-Brie,1,1
73,77Château-Landon,1,1
74,77Châtenay-sur-Seine,1,1
75,77Châtillon-la-Borde,1,1
76,77Châtres,1,1
77,77Citry,1,1
78,77Claye-Souilly,1,1
79,77Collégien,1,1
80,77Combs-la-Ville,1,1
81,77Compans,1,1
82,77Condé-Sainte-Libiaire,1,1
83,77Congis-sur-Thérouanne,1,1
84,77Coubert,1,1
85,77Couilly-Pont-aux-Dames,1,1
86,77Coulommes,1,1
87,77Coulommiers,1,1
88,77Coupvray,1,1
89,77Courpalay,1,1
90,77Courtomer,1,1
91,77Courtry,1,1
92,77Coutevroult,1,1
93,77Croissy-Beaubourg,1,1
94,77Crouy-sur-Ourcq,1,1
95,77Crécy-la-Chapelle,1,1
96,77Crégy-lès-Meaux,1,1
97,77Cuisy,1,1
98,77Cély,1,0
99,77Dammarie-les-Lys,1,1
100,77Dammartin-en-Goële,1,1
101,77Dammartin-sur-Tigeaux,1,0
102,77Dampmart,1,1
103,77Donnemarie-Dontilly,1,1
104,77Doue,1,1
105,77Douy-la-Ramée,1,1
106,77Esbly,1,1
107,77Esmans,1,1
108,77Faremoutiers,1,1
109,77Favières,1,0
110,77Ferrières-en-Brie,1,1
111,77Fontaine-le-Port,1,1
112,77Fontainebleau,1,1
113,77Fontenailles,1,1
114,77Fontenay-Trésigny,1,1
115,77Forges,1,0
116,77Fouju,1,1
117,77Fresnes-sur-Marne,1,1
118,77Fublaines,1,1
119,77Féricy,1,1
120,77Férolles-Attilly,1,1
121,77Gastins,1,1
122,77Germigny-l'Évêque,1,0
123,77Gouaix,1,1
124,77Gouvernes,1,1
125,77Gressy,1,1
126,77Gretz-Armainvilliers,1,1
127,77Grez-sur-Loing,1,0
128,77Grisy-Suisnes,1,1
129,77Guermantes,1,1
130,77Guignes,1,1
131,77Guérard,1,1
132,77Héricy,1,1
133,77Isles-les-Meldeuses,1,1
134,77Isles-lès-Villenoy,1,1
135,77Jablines,1,1
136,77Jossigny,1,1
137,77Jouarre,1,1
138,77Jouy-le-Châtel,1,1
139,77Jouy-sur-Morin,1,1
140,77Juilly,1,0
141,77Jutigny,1,1
142,77La Brosse-Montceaux,1,1
143,77La Celle-sur-Morin,1,1
144,77La Chapelle-Gauthier,1,1
145,77La Chapelle-Iger,1,1
146,77La Chapelle-Moutils,1,1
147,77La Chapelle-la-Reine,1,1
148,77La Ferté-Gaucher,1,1
149,77La Ferté-sous-Jouarre,1,1
150,77La Grande-Paroisse,1,0
151,77La Houssaye-en-Brie,1,1
152,77La Rochette,1,1
153,77Lagny-sur-Marne,1,1
154,77Larchant,1,1
155,77Le Châtelet-en-Brie,1,1
156,77Le Mesnil-Amelot,1,0
157,77Le Mée-sur-Seine,1,1
158,77Le Pin,1,1
159,77Lieusaint,1,1
160,77Liverdy-en-Brie,1,1
161,77Livry-sur-Seine,1,1
162,77Lizy-sur-Ourcq,1,1
163,77Lognes,1,1
164,77Longperrier,1,1
165,77Longueville,1,0
166,77Lorrez-le-Bocage-Préaux,1,1
167,77Lumigny-Nesles-Ormeaux,1,1
168,77Luzancy,1,1
169,77Lésigny,1,1
170,77Machault,1,0
171,77Magny-le-Hongre,1,1
172,77Maincy,1,1
173,77Maison-Rouge,1,1
174,77Maisoncelles-en-Brie,1,1
175,77Marcilly,1,1
176,77Mareuil-lès-Meaux,1,1
177,77Marles-en-Brie,1,1
178,77Marolles-sur-Seine,1,1
179,77Mary-sur-Marne,1,1
180,77Mauregard,1,0
181,77Meaux,1,1
182,77Melun,1,1
183,77Messy,1,1
184,77Mitry-Mory,1,1
185,77Moissy-Cramayel,1,1
186,77Montcourt-Fromonville,1,1
187,77Montereau-Fault-Yonne,1,1
188,77Montgé-en-Goële,1,0
189,77Monthyon,1,1
190,77Montigny-Lencoup,1,1
191,77Montigny-sur-Loing,1,1
192,77Montry,1,1
193,77Montévrain,1,1
194,77Moret-Loing-et-Orvanne,1,1
195,77Mormant,1,1
196,77Mortcerf,1,1
197,77Mouroux,1,1
198,77Mousseaux-lès-Bray,1,1
199,77Moussy-le-Neuf,1,1
200,77Moussy-le-Vieux,1,1
201,77Mouy-sur-Seine,1,1
202,77Méry-sur-Marne,1,1
203,77Nandy,1,1
204,77Nangis,1,1
205,77Nanteuil-lès-Meaux,1,1
206,77Nanteuil-sur-Marne,1,1
207,77Nantouillet,1,1
208,77Nemours,1,1
209,77Neufmoutiers-en-Brie,1,1
210,77Noisiel,1,1
211,77Noisy-sur-École,1,1
212,77Oissery,1,0
213,77Othis,1,1
214,77Ozoir-la-Ferrière,1,1
215,77Ozouer-le-Voulgis,1,1
216,77Penchard,1,1
217,77Perthes,1,1
218,77Poligny,1,0
219,77Pommeuse,1,1
220,77Pomponne,1,1
221,77Pontault-Combault,1,1
222,77Pontcarré,1,1
