,nom_commune,dummy,cat_commune
0,75Paris 11e Arrondissement,1,2
1,75Paris 12e Arrondissement,1,2
2,75Paris 13e Arrondissement,1,2
3,75Paris 14e Arrondissement,1,2
4,75Paris 15e Arrondissement,1,2
5,75Paris 16e Arrondissement,1,2
6,75Paris 17e Arrondissement,1,2
7,75Paris 18e Arrondissement,1,2
8,75Paris 19e Arrondissement,1,2
9,75Paris 20e Arrondissement,1,2
10,75Paris 3e Arrondissement,1,2
11,75Paris 5e Arrondissement,1,2
12,75Paris 6e Arrondissement,1,2
13,75Paris 7e Arrondissement,1,2
14,75Paris 8e Arrondissement,1,2
15,75Paris 9e Arrondissement,1,2
16,77Achères-la-Forêt,1,1
17,77Amillis,1,1
18,77Amponville,1,1
19,77Andrezel,1,1
20,77Annet-sur-Marne,1,1
21,77Arbonne-la-Forêt,1,1
22,77Argentières,1,1
23,77Armentières-en-Brie,1,1
24,77Arville,1,1
25,77Aubepierre-Ozouer-le-Repos,1,1
26,77Aufferville,1,1
27,77Augers-en-Brie,1,1
28,77Aulnoy,1,1
29,77Avon,1,1
30,77Baby,1,1
31,77Bagneaux-sur-Loing,1,1
32,77Bailly-Romainvilliers,1,1
33,77Balloy,1,1
34,77Bannost-Villegagnon,1,1
35,77Barbey,1,1
36,77Barbizon,1,1
37,77Barcy,1,1
38,77Bassevelle,1,1
39,77Bazoches-lès-Bray,1,1
40,77Beauchery-Saint-Martin,1,1
41,77Beaumont-du-Gâtinais,1,1
42,77Beautheil-Saints,1,1
43,77Beauvoir,1,1
44,77Bellot,1,1
45,77Bernay-Vilbert,1,1
46,77Beton-Bazoches,1,1
47,77Bezalles,1,1
48,77Blandy,1,1
49,77Blennes,1,1
50,77Bois-le-Roi,1,1
51,77Boisdon,1,1
52,77Boissettes,1,1
53,77Boissise-la-Bertrand,1,1
54,77Boissise-le-Roi,1,1
55,77Boissy-aux-Cailles,1,1
56,77Boissy-le-Châtel,1,1
57,77Boitron,1,1
58,77Bombon,1,1
59,77Bougligny,1,1
60,77Boulancourt,1,1
61,77Bouleurs,1,1
62,77Bourron-Marlotte,1,1
63,77Boutigny,1,1
64,77Bransles,1,1
65,77Bray-sur-Seine,1,1
66,77Brie-Comte-Robert,1,1
67,77Brou-sur-Chantereine,1,1
68,77Bréau,1,1
69,77Burcy,1,1
70,77Bussières,1,1
71,77Bussy-Saint-Georges,1,1
72,77Bussy-Saint-Martin,1,1
73,77Buthiers,1,1
74,77Cannes-Écluse,1,1
75,77Carnetin,1,1
76,77Cerneux,1,1
77,77Cesson,1,1
78,77Cessoy-en-Montois,1,1
79,77Chailly-en-Bière,1,1
80,77Chailly-en-Brie,1,1
81,77Chaintreaux,1,1
82,77Chalautre-la-Grande,1,1
83,77Chalautre-la-Petite,1,1
84,77Chalifert,1,1
85,77Chalmaison,1,1
86,77Chambry,1,1
87,77Chamigny,1,1
88,77Champagne-sur-Seine,1,1
89,77Champcenest,1,1
90,77Champdeuil,1,1
91,77Champeaux,1,1
92,77Champs-sur-Marne,1,1
93,77Changis-sur-Marne,1,1
94,77Chanteloup-en-Brie,1,1
95,77Charmentray,1,1
96,77Charny,1,1
97,77Chartrettes,1,1
98,77Chartronges,1,1
99,77Chauconin-Neufmontiers,1,1
100,77Chauffry,1,1
101,77Chaumes-en-Brie,1,1
102,77Chelles,1,1
103,77Chenoise-Cucharmoy,1,1
104,77Chenou,1,1
105,77Chessy,1,1
106,77Chevrainvilliers,1,1
107,77Chevru,1,1
108,77Chevry-Cossigny,1,1
109,77Chevry-en-Sereine,1,1
110,77Choisy-en-Brie,1,1
111,77Château-Landon,1,1
112,77Châteaubleau,1,1
113,77Châtenay-sur-Seine,1,1
114,77Châtenoy,1,1
115,77Châtillon-la-Borde,1,1
116,77Châtres,1,1
