,type,nom_commune,code_departement,prix,numberOfGuests,rating
0,Room,Paris 20e Arrondissement,75,992,2,4.5
1,Room,Fontenay-sous-Bois,94,962,2,4.5
2,Entire Home,Chennevières-sur-Marne,94,668,15,5.0
3,Room,Paris 18e Arrondissement,75,906,1,4.5
4,Room,Paris 13e Arrondissement,75,590,2,4.5
5,Entire Home,Chennevières-sur-Marne,94,684,12,5.0
6,Room,Paris 10e Arrondissement,75,991,2,4.5
7,Entire Home,Paris 11e Arrondissement,75,736,16,5.0
8,Room,Épinay-sur-Seine,93,548,2,4.5
9,Room,Paris 10e Arrondissement,75,991,2,4.0
10,Room,Paris 10e Arrondissement,75,991,3,4.5
11,Room,Paris 18e Arrondissement,75,992,4,4.5
12,Room,Paris 15e Arrondissement,75,646,2,4.5
13,Room,Paris 10e Arrondissement,75,991,3,4.5
14,Entire Home,Paris 10e Arrondissement,75,991,4,4.5
15,Entire Home,Paris 16e Arrondissement,75,872,2,4.5
16,Entire Home,Paris 17e Arrondissement,75,702,2,4.5
17,Room,Paris 16e Arrondissement,75,555,3,4.5
18,Room,Paris 11e Arrondissement,75,595,3,4.5
19,Room,Paris 9e Arrondissement,75,624,4,4.5
20,Room,Gentilly,94,555,8,4.5
21,Room,Paris 16e Arrondissement,75,1141,1,4.5
22,Room,Paris 5e Arrondissement,75,654,2,4.5
23,Entire Home,Paris 19e Arrondissement,75,1200,8,4.5
24,Entire Home,Paris 16e Arrondissement,75,695,2,5.0
25,Room,Paris 15e Arrondissement,75,666,4,4.5
26,Room,Paris 5e Arrondissement,75,679,2,5.0
27,Entire Home,Suresnes,92,1019,2,4.5
28,Room,Paris 16e Arrondissement,75,721,2,4.5
29,Entire Home,Nogent-sur-Marne,94,1358,5,4.5
30,Entire Home,Rosny-sous-Bois,93,1132,2,4.5
31,Entire Home,Clamart,92,1178,4,4.5
32,Room,Paris 8e Arrondissement,75,849,4,4.5
33,Room,Paris 3e Arrondissement,75,611,2,4.5
34,Room,Paris 9e Arrondissement,75,1433,4,4.5
35,Room,Paris 10e Arrondissement,75,1075,2,4.5
36,Entire Home,Bonneuil-sur-Marne,94,1059,16,4.5
37,Entire Home,Clamart,92,1390,16,4.5
38,Room,Paris 16e Arrondissement,75,1190,6,4.5
39,Room,Paris 8e Arrondissement,75,984,2,4.5
40,Room,Paris 7e Arrondissement,75,784,2,4.5
41,Room,Paris 3e Arrondissement,75,666,2,4.5
42,Entire Home,Cormeilles-en-Parisis,95,1564,10,4.5
43,Room,Paris 7e Arrondissement,75,1379,2,4.5
44,Room,Paris 6e Arrondissement,75,535,4,4.5
45,Room,Paris 8e Arrondissement,75,1041,4,4.5
46,Room,Paris 16e Arrondissement,75,816,2,4.5
47,Room,Paris 16e Arrondissement,75,826,2,4.5
48,Room,Paris 18e Arrondissement,75,1095,3,4.5
49,Entire Home,Bagneux,92,1309,16,5.0
50,Room,Paris 8e Arrondissement,75,814,4,4.5
51,Room,Paris 7e Arrondissement,75,783,4,4.5
52,Room,Paris 8e Arrondissement,75,1140,4,4.5
53,Room,Paris 8e Arrondissement,75,1176,2,4.5
54,Room,Paris 4e Arrondissement,75,1170,4,4.5
55,Entire Home,Malakoff,92,1081,16,5.0
56,Entire Home,Paris 8e Arrondissement,75,1116,4,4.5
57,Entire Home,Puteaux,92,1461,10,5.0
58,Entire Home,Paris 9e Arrondissement,75,1381,10,5.0
59,Entire Home,Paris 15e Arrondissement,75,1414,12,5.0
60,Room,Paris 1er Arrondissement,75,633,2,4.5
61,Room,Paris 8e Arrondissement,75,547,2,4.5
62,Room,Paris 5e Arrondissement,75,618,2,4.5
63,Room,Paris 2e Arrondissement,75,513,3,4.5
64,Room,Paris 8e Arrondissement,75,595,2,4.5
65,Room,Paris 8e Arrondissement,75,519,4,5.0
66,Room,Paris 8e Arrondissement,75,528,4,4.5
67,Room,Paris 9e Arrondissement,75,574,4,4.5
68,Room,Paris 8e Arrondissement,75,883,4,4.5
69,Room,Paris 3e Arrondissement,75,579,2,5.0
70,Room,Paris 16e Arrondissement,75,590,2,4.5
71,Room,Paris 9e Arrondissement,75,588,5,4.5
72,Room,Paris 8e Arrondissement,75,559,4,4.5
73,Room,Paris 9e Arrondissement,75,556,2,4.5
74,Room,Paris 6e Arrondissement,75,897,16,4.5
75,Room,Paris 10e Arrondissement,75,624,2,5.0
76,Room,Paris 4e Arrondissement,75,635,4,4.5
77,Entire Home,Paris 19e Arrondissement,75,851,6,4.5
78,Room,Paris 5e Arrondissement,75,546,4,4.5
79,Entire Home,Paris 11e Arrondissement,75,662,6,4.5
80,Room,Paris 15e Arrondissement,75,614,2,4.5
81,Room,Paris 3e Arrondissement,75,798,4,5.0
82,Entire Home,Paris 8e Arrondissement,75,655,6,5.0
83,Room,Paris 1er Arrondissement,75,572,2,4.5
84,Entire Home,Paris 3e Arrondissement,75,895,10,5.0
85,Entire Home,Paris 10e Arrondissement,75,660,6,5.0
86,Entire Home,Paris 8e Arrondissement,75,2410,12,4.5
87,Room,Paris 7e Arrondissement,75,1984,2,4.5
88,Room,Paris 7e Arrondissement,75,1984,2,4.5
89,Room,Paris 7e Arrondissement,75,1984,2,4.5
90,Entire Home,Argenteuil,95,1515,10,4.5
91,Room,Paris 8e Arrondissement,75,1959,2,4.5
92,Entire Home,Le Plessis-Trévise,94,2490,9,5.0
93,Entire Home,Yerres,91,2288,16,5.0
94,Room,Paris 1er Arrondissement,75,644,5,4.5
95,Entire Home,Longjumeau,91,3984,3,4.5
96,Entire Home,Soisy-sur-Seine,91,3489,13,4.5
