,type_location,code_departement,code_commune,prix_location,nb_pieces,nb_chambres,sbien_m²,sterrain_m²,taxe_loyer,cuisine_equipee,machine_laver,m_lave_vaisselle,bien_neuf,place_parking,ascenseur,cave,chauffage,vitrage,parking,baignoire,balcon,jardin,meublé,colocation,approximite_metro,terrasse
0,0,75,75056,1124,2,1,31,0,1025,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0
1,0,95,95074,520,1,1,22,0,500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,93,93051,910,2,1,38,0,-1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3,0,75,75056,1224,2,1,29,0,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,0,92,92026,2880,4,3,105,0,2880,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
5,0,75,75056,1800,3,2,60,0,1700,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6,0,92,92072,620,1,0,20,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,94,94033,1050,2,1,80,0,990,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
8,0,75,75056,805,1,0,16,0,805,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,0,91,91228,520,1,1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
10,0,77,77089,800,2,1,27,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0,75,75056,1530,2,1,35,0,1450,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
12,0,75,75056,1454,2,1,47,0,1294,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0
13,0,75,75056,2480,2,1,82,0,-1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0
14,0,92,92044,890,1,0,24,0,-1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
15,0,78,78092,750,2,1,28,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
16,0,92,92050,1450,3,2,65,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
17,0,94,94068,590,1,0,16,0,590,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,78,78650,750,2,1,26,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,0,75,75056,4115,6,3,180,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,0,92,92026,1250,2,1,43,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0
21,0,78,78158,680,1,0,17,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
22,0,92,92004,1040,2,1,40,0,1040,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,92,92022,710,1,0,21,0,-1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1
24,0,93,93071,460,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,0,75,75056,950,3,2,30,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,0,92,92044,714,1,0,11,0,69000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
27,0,75,75056,2000,2,1,41,0,1900,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
28,0,94,94041,820,2,1,39,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,75,75056,645,1,0,15,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,75,75056,1600,2,1,35,0,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
31,0,94,94028,1500,4,3,77,0,1368,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
32,0,94,94028,1400,3,2,71,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
