,type_vente,nom_commune,code_departement,prix_vente,nb_pieces,nb_chambres,sbien_m²,sterrain_m²,prix_m²,taxe_fonciere,cuisine_equipee,chauffage_collectif,sejour_cuisine,salle_equipee,ascenseur,cave,chauffage,vitrage,parking,baignoire,balcon,jardin,garage,dressing,approximite_metro,bureau,terrasse
0,Maison,Les Pavillons-sous-Bois,93,359000,4,2,75,222,4787,-1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1,Appartement,Paris 15e Arrondissement,75,750000,3,2,73,0,10274,1155,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,False,False
2,Maison,Nanterre,92,550000,3,2,80,209,6875,-1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
3,Appartement,Paris 11e Arrondissement,75,518000,2,1,44,0,0,511,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False
4,Appartement,Alfortville,94,260000,2,1,43,0,6047,-1,False,True,False,False,True,True,True,True,False,True,False,False,False,False,True,False,False
5,Appartement,Vincennes,94,545000,3,2,55,0,9909,1167,False,True,False,False,True,True,True,True,False,False,False,True,False,False,True,False,False
6,Appartement,Châtenay-Malabry,92,329000,3,2,56,0,5875,-1,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,False,False
7,Appartement,Paris 17e Arrondissement,75,610000,2,1,51,0,11961,-1,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False
8,Appartement,Boulogne-Billancourt,92,750000,3,2,83,0,9036,-1,False,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False
9,Maison,Bagneux,92,650000,5,3,122,160,5328,1325,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,True,True
10,Appartement,Nogent-sur-Marne,94,200000,2,1,29,0,6897,-1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11,Appartement,Paris 16e Arrondissement,75,600000,2,1,52,0,11538,-1,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
